Run,F1 Score
ResNet 5.0%,[0.907563025210084 0.6972866026003393 0.8292192881745121 0.797962648556876 0.6519226653349504 0.7142655367231638 0.8906327324142806 0.8959183673469387 0.7219823008849557 0.7958833619210979]
VGG19 5.0%,[0.6887239307175681 0.6887239307175681 0.7226107226107226 0.6183673469387755 0.4312788398154252 0.6806497175141243 0.4312788398154252 0.6033333333333333 0.6638418079096045 0.6887239307175681]
CLIP 5.0%,[0.9159129451667609 0.8564942895651557 0.7976190476190477 0.9159604519774012 0.9159604519774012 0.8016666666666667 0.8907254361799817 0.9326542161856253 0.8738069989395546 0.8823446327683615]
DINOv2 5.0%,[0.8970588235294117 0.7813736574335783 0.8633754305396096 0.9243483788938335 0.8487288135593221 0.8462973593570609 0.9066133980166939 0.9410265486725664 0.7796296296296297 0.8469125214408233]
DINOv3 5.0%,[0.9159129451667609 0.7301587301587302 0.8899793755778395 0.7609070034443168 0.814484126984127 0.8066680793953521 0.8739139648230557 0.9159604519774012 0.7470238095238095 0.8401555319901025]
ResNet 10.0%,[0.47653958944281527 0.508441091954023 0.5815967755767086 0.5387596899224806 0.508441091954023 0.5387596899224806 0.5387596899224806 0.4599425766416597 0.47653958944281527 0.47653958944281527]
VGG19 10.0%,[0.6381905821282907 0.34972677595628415 0.3160919540229885 0.3160919540229885 0.7689320388349514 0.7438289322617682 0.6468343697003958 0.8031643293779216 0.34972677595628415 0.3160919540229885]
CLIP 10.0%,[0.8417553191489362 0.8079518779342723 0.832332220986281 0.8065040650406504 0.8486433013001695 0.8650793650793651 0.9409094133503582 0.8985795454545454 0.9745309267318256 0.9410265486725664]
DINOv2 10.0%,[0.8959183673469387 0.931961120640366 0.9229773462783172 0.8875808444153768 0.9327303561334087 0.9405721623742598 0.9238318754000427 0.9073274336283186 0.9327303561334087 0.8821448783248443]
DINOv3 10.0%,[0.8643874643874644 0.9071433638362773 0.8643874643874644 0.8653084323712508 0.8401555319901025 0.8650793650793651 0.8738069989395546 0.8402910221092039 0.8902603390792367 0.8654607122668174]
ResNet 20.0%,[0.8654607122668174 0.8571024934661298 0.8486433013001695 0.8739139648230557 0.822274375933433 0.9159129451667609 0.7397959183673469 0.8736283185840708 0.8304843304843305 0.8822781232334652]
VGG19 20.0%,[0.9074584658890067 0.7126420454545455 0.47050098879367175 0.8478693181818182 0.8979416809605489 0.35912698412698413 0.6104894572581259 0.7492188067727636 0.9158177702320316 0.9411099328384589]
CLIP 20.0%,[0.949490662139219 0.8643874643874644 0.9489708404802745 0.9323863636363636 0.9235927801954769 0.9575515445530427 0.8529903350047234 0.8892230576441102 0.913768115942029 0.9225988292259883]
DINOv2 20.0%,[0.9243697478991597 0.9409094133503582 0.9159604519774012 0.9400934915498023 0.9747256637168141 0.9662698412698413 0.9661931818181818 0.9663271080928126 0.9746754628644393 0.9661931818181818]
DINOv3 20.0%,[0.9243697478991597 0.8907254361799817 0.9579356663131848 0.906265664160401 0.9579356663131848 0.949490662139219 0.983096590909091 0.9579356663131848 0.9579356663131848 0.9323863636363636]
ResNet 30.0%,[0.8738069989395546 0.9243697478991597 0.9327303561334087 0.899095534200113 0.9243697478991597 0.899095534200113 0.9075369075369075 0.8736283185840708 0.8396112648081152 0.8906327324142806]
VGG19 30.0%,[0.9243697478991597 0.9411099328384589 0.9154829545454546 0.9577924381073988 0.9494047619047619 0.9663271080928126 0.7884218761112296 0.9411099328384589 0.9225988292259883 0.8316355404640634]
CLIP 30.0%,[0.9489708404802745 0.9407581253111443 0.9400934915498023 0.9410265486725664 0.9489708404802745 0.9409094133503582 0.9410265486725664 0.9579356663131848 0.9327683615819209 0.9495477671000565]
DINOv2 30.0%,[0.9579356663131848 0.9409094133503582 0.9410265486725664 0.9746754628644393 0.9327683615819209 0.9573934837092731 0.9578761061946903 0.9577924381073988 0.983048433048433 0.9745309267318256]
DINOv3 30.0%,[0.9327683615819209 0.9578761061946903 0.9410265486725664 0.9579356663131848 0.9576843752222459 0.9746754628644393 0.9411598502507593 0.9662698412698413 0.9578761061946903 0.9573934837092731]
ResNet 40.0%,[0.906265664160401 0.9573934837092731 0.9071433638362773 0.9316877152698049 0.9241769911504425 0.8686050791313948 0.8975315729047072 0.9573934837092731 0.8979416809605489 0.913768115942029]
VGG19 40.0%,[0.8047371049439966 0.9154829545454546 0.9495477671000565 0.914609644087256 0.9410265486725664 0.8292192881745121 0.9243697478991597 0.9405721623742598 0.8965217391304348 0.9495477671000565]
CLIP 40.0%,[0.9579356663131848 0.9746106251333475 0.9576843752222459 0.9313725490196079 0.9746106251333475 0.9492897727272727 0.9915368750444492 0.9491452991452991 0.9573934837092731 0.9410265486725664]
DINOv2 40.0%,[0.9577924381073988 0.965980560320183 0.9831349206349206 0.9577924381073988 0.9663271080928126 0.9491452991452991 0.983096590909091 0.9661931818181818 0.9575515445530427 0.9579356663131848]
DINOv3 40.0%,[0.9411099328384589 0.983096590909091 0.9746754628644393 0.9746754628644393 0.9579356663131848 1.0 0.9409094133503582 0.983048433048433 0.9577924381073988 0.9745309267318256]
ResNet 50.0%,[0.9411598502507593 0.9243483788938335 0.949490662139219 0.9495477671000565 0.9327303561334087 0.9411598502507593 0.9662698412698413 0.9495477671000565 0.9243697478991597 0.9575515445530427]
VGG19 50.0%,[0.8991525423728814 0.9410265486725664 0.9492897727272727 0.9495477671000565 0.9578761061946903 0.9327683615819209 0.9578761061946903 0.9831349206349206 0.983096590909091 0.9494047619047619]
CLIP 50.0%,[0.9577924381073988 0.9915584876214798 0.949490662139219 0.9240263885933178 0.9663271080928126 0.9663271080928126 0.9746754628644393 0.9327303561334087 0.9325396825396826 0.9915368750444492]
DINOv2 50.0%,[0.9495477671000565 0.9663271080928126 0.9746754628644393 0.9661931818181818 0.9577924381073988 0.9579356663131848 0.9575515445530427 1.0 0.9577924381073988 0.9915584876214798]
DINOv3 50.0%,[0.9578761061946903 0.9831349206349206 0.9915368750444492 0.983096590909091 0.9915368750444492 0.9661931818181818 0.9745309267318256 0.9915584876214798 0.983096590909091 1.0]
