Percentage,Seed
5.0%,[706114568 2269316431 2645710315 2059083715 3176593444 2687743216 3336681765 4169081595 789664482 699518732]
10.0%,[2380609155 3529446153 1989156382 4044428744 400337883 3869023406 344909837 3888914282 120880301 1671000115]
20.0%,[1989940365 6467503 3802498184 2157210444 437645655 119392437 3582199594 1546558201 2495230826 358038457]
30.0%,[840226141 188044271 393838153 3260752258 3549673414 1222324901 1829148299 3915688946 2777713995 2255709298]
40.0%,[2237115490 3294099357 3813983297 2417351868 1115286017 3762782951 2578482344 3765075605 2004947251 1269433412]
50.0%,[793626510 4199431126 3081885905 4258326917 4289029135 2059953754 4226312327 473234235 1968236602 3031496890]
60.0%,[1520696804 19998560 3415411861 2840477965 547804256 2477241465 2553818186 3295591119 243934795 2839245953]
70.0%,[2083306638 1820732273 4151263075 3579831788 3844247311 610609410 1933054111 3873320486 3377244890 2660578564]
80.0%,[3883145244 1381328709 1547018691 2428002393 1163036369 1779309213 516021668 269203393 2994500634 238121115]
90.0%,[3111353463 2482967594 2187429876 1623003948 1486146477 2177696526 364645394 1062331195 309047145 861326750]
100%,[3744568709 1464466108 698289577 3860955933 3985606722 2518408278 544109227 2000735605 4038135803 1705889311]
